Epoch,Train_Loss,Val_Loss,Learning_Rate,Accuracy,F1,Training_Time_Sec
1,1047844.76847,0.06182,1.6675257731958766e-05,0.9382,0.9395,884.14
2,2.26635,0.03555,1.7645454545454547e-05,0.9645,0.964,892.36
3,0.25444,0.02859,1.4704545454545457e-05,0.9714,0.9717,948.37
4,0.80667,0.02009,1.1763636363636364e-05,0.9799,0.9798,875.88
5,0.04126,0.02009,8.822727272727274e-06,0.9799,0.9798,1023.44
6,0.02544,0.02705,5.881818181818182e-06,0.973,0.9731,1726.08
7,0.01893,0.02087,2.940909090909091e-06,0.9791,0.9791,1660.96
